	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	74.22	107.49	7.06	36.10	92.47	29.76	7.18	110.29	1.17	75.66	42.94	-10.98	112.34
2	74.16	107.73	6.67	35.88	92.51	29.67	6.61	108.79	1.40	57.63	43.74	-5.47	111.15
3	74.11	107.97	6.39	35.66	92.51	29.59	6.05	107.37	1.54	40.79	44.49	0.08	109.99
4	74.07	108.19	6.20	35.43	92.50	29.50	5.50	105.99	1.61	25.04	45.23	5.67	108.89
5	74.04	108.41	6.10	35.20	92.45	29.43	4.96	104.59	1.60	10.24	46.04	11.29	107.85
6	74.03	108.61	6.09	34.96	92.38	29.35	4.42	103.12	1.53	-3.60	47.05	16.97	106.83
7	74.03	108.79	6.15	34.72	92.28	29.27	3.89	101.53	1.43	-16.27	48.39	22.71	105.79
8	74.05	108.96	6.28	34.47	92.16	29.18	3.36	99.83	1.31	-27.67	50.11	28.51	104.68
9	74.07	109.10	6.48	34.22	92.00	29.08	2.84	98.04	1.18	-37.85	52.17	34.37	103.46
