	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	72.72	109.76	8.53	37.18	93.30	31.96	5.18	111.34	-2.02	-0.69	48.90	-11.90	121.63
2	72.69	109.95	8.79	36.92	93.34	31.89	4.54	109.48	-2.73	-82.79	51.41	-3.47	120.03
3	72.68	110.14	9.61	36.64	93.33	31.83	3.90	107.92	-3.62	-165.25	53.96	5.04	118.05
4	72.68	110.32	10.97	36.35	93.28	31.77	3.27	106.65	-4.65	-245.02	56.61	13.56	115.76
5	72.70	110.49	12.84	36.05	93.18	31.72	2.66	105.65	-5.80	-319.18	59.37	22.05	113.25
6	72.72	110.67	15.19	35.73	93.03	31.67	2.05	104.91	-7.02	-384.83	62.16	30.43	110.58
7	72.76	110.84	17.91	35.40	92.83	31.61	1.46	104.43	-8.26	-439.22	64.95	38.67	107.82
8	72.82	111.01	20.92	35.05	92.60	31.54	0.88	104.20	-9.43	-479.87	67.78	46.71	104.99
