	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	77.77	109.18	24.15	39.55	98.44	28.81	7.67	79.42	-0.84	29.49	49.41	-14.17	142.01
2	77.69	109.22	23.38	39.08	98.52	28.61	6.37	75.66	-1.72	127.21	54.12	-1.01	139.55
3	77.64	109.29	21.65	38.56	98.47	28.43	5.08	72.36	-2.70	223.13	57.95	12.87	136.33
4	77.63	109.39	19.08	38.02	98.29	28.26	3.83	69.89	-3.52	302.78	60.71	26.91	132.30
5	77.64	109.50	15.90	37.45	97.99	28.09	2.61	69.05	-4.02	353.81	62.74	40.46	127.24
6	77.68	109.62	12.45	36.86	97.56	27.91	1.45	70.60	-4.13	367.28	64.62	52.98	120.92
7	77.76	109.72	9.09	36.26	97.01	27.71	0.36	74.76	-3.81	338.80	66.61	64.19	113.47
8	77.86	109.78	6.20	35.64	96.37	27.49	-0.66	80.83	-2.96	268.81	68.27	74.07	105.44
9	78.01	109.77	4.15	35.01	95.64	27.24	-1.60	87.63	-1.43	162.29	69.39	82.93	97.45
