,Shot Metric,Shooting Side,Non-Shooting Side,Shooting Side,Non-Shooting Side
0,Wrist Angle(°),10.29,-30.08,31.95,-30.55
1,Hand Height(in),68.79,72.64,67.25,71.51
2,Hand Height(%PH),94.45,99.73,92.34,98.17
3,Elbow Angle(°),106.78,81.05,104.27,80.12
4,Shoulder Angle(°),77.87,99.75,79.67,101.07
5,Torso Angle(°),-10.78,-10.78,-8.80,-8.80
6,Hip Angle(°),14.04,21.02,18.47,24.62
7,Knee Angle(°),59.54,57.42,68.70,65.68
8,Feet Stagger Position(in),-2.52,-2.52,-2.49,-2.49
9,Ankle Angle(°),17.53,20.20,19.91,23.53
