	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	62.15	112.65	0.42	27.36	76.20	32.45	-1.06	176.10	2.28	-16.52	27.28	-7.82	91.54
2	62.15	112.75	0.60	27.20	76.27	32.39	-1.51	170.76	2.15	-50.20	31.14	2.20	88.92
3	62.15	112.82	0.98	27.03	76.28	32.29	-1.94	166.36	2.06	-86.90	35.05	12.09	86.19
4	62.13	112.87	1.57	26.83	76.23	32.18	-2.36	162.93	2.11	-126.36	39.06	21.86	83.43
5	62.12	112.87	2.39	26.61	76.11	32.03	-2.77	160.42	2.39	-168.01	43.11	31.52	80.67
6	62.11	112.83	3.46	26.38	75.93	31.87	-3.16	158.72	2.98	-210.91	47.12	41.07	77.98
7	62.11	112.75	4.76	26.12	75.68	31.67	-3.53	157.65	3.98	-253.61	50.96	50.50	75.46
8	62.13	112.62	6.31	25.83	75.37	31.45	-3.89	157.00	5.41	-294.14	54.51	59.78	73.18
