	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	64.38	111.30	17.10	26.37	77.79	33.54	-1.20	196.42	-0.12	-371.95	34.12	18.04	94.20
2	64.57	111.31	19.27	26.21	77.74	33.36	-1.61	191.90	-0.07	-412.18	35.67	25.11	91.25
3	64.76	111.32	21.65	26.04	77.65	33.16	-2.01	187.41	0.08	-442.43	37.05	31.87	88.28
4	64.93	111.32	24.19	25.87	77.51	32.95	-2.41	183.03	0.32	-461.55	38.42	38.45	85.32
5	65.10	111.32	26.83	25.69	77.34	32.73	-2.79	178.80	0.68	-469.17	39.89	44.95	82.42
6	65.26	111.30	29.48	25.50	77.13	32.50	-3.16	174.71	1.15	-465.66	41.56	51.47	79.61
7	65.42	111.29	32.07	25.31	76.87	32.26	-3.51	170.72	1.75	-451.93	43.50	58.09	76.93
8	65.57	111.27	34.54	25.10	76.58	32.02	-3.86	166.79	2.49	-429.15	45.72	64.85	74.43
