,Shot Metric,Shooting Side,Non-Shooting Side,Shooting Side,Non-Shooting Side
0,Wrist Angle(°),16.64,-26.57,19.23,-19.77
1,Hand Height(in),74.47,78.47,77.04,79.73
2,Hand Height(%PH),102.25,107.73,105.78,109.47
3,Elbow Angle(°),95.18,64.86,78.31,53.12
4,Shoulder Angle(°),72.78,108.01,78.16,109.42
5,Torso Angle(°),-10.75,-10.75,-9.31,-9.31
6,Hip Angle(°),12.48,9.34,9.66,6.95
7,Knee Angle(°),41.50,35.15,37.61,30.30
8,Feet Stagger Position(in),-6.26,-6.26,-6.07,-6.07
9,Ankle Angle(°),2.89,1.14,-1.03,0.49
