,Shot Metric,Shooting Side,Non-Shooting Side,Shooting Side,Non-Shooting Side
0,Wrist Angle(°),-0.04500000000000001,-19.215,8.530000000000001,-21.365000000000002
1,Elbow Height(in),51.08,52.16,50.815000000000005,52.4975
2,Elbow Height(%PH),70.125,71.61500000000001,69.76750000000001,72.08
3,Elbow Angle(°),110.17,80.41999999999999,109.375,81.57249999999999
4,Shoulder Angle(°),64.03,102.255,66.54499999999999,99.50999999999999
5,Torso Angle(°),-1.865,-1.865,0.655,0.655
6,Hip Angle(°),27.86,27.19,28.7575,27.42
7,Knee Angle(°),77.61,74.17500000000001,76.895,72.185
8,Feet Stagger Position(in),-5.605,-5.605,-5.1775,-5.1775
9,Ankle Angle(°),30.55,33.725,33.395,35.4375
