Shot Metric,Shooting Side,Shooting Side,Non-Shooting Side,Non-Shooting Side
Wrist Angle(°),-10.03,-1.53,24.51,16.47
Hand Height(in),87.70,86.52,87.05,85.80
Hand Height(%PH),120.41,118.79,119.52,117.81
Elbow Angle(°),-5.91,-5.37,-5.23,29.74
Release Angle(°),-162.58,-161.01,-152.75,-140.55
Shoulder Angle(°),100.34,101.25,124.43,119.91
Torso Angle(°),-16.62,-6.44,-16.62,-6.44
Hip Angle(°),-2.25,-3.87,-0.56,-4.11
Knee Angle(°),4.39,0.86,3.95,-0.43
Vertical Displacement(in),0.03,0.02,0.03,0.02
Ankle Angle(°),-34.03,-20.30,-35.38,-23.38
