	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	72.15	107.87	27.33	25.13	68.98	31.18	3.98	111.33	-3.88	-94.28	35.56	-16.54	96.41
2	72.09	108.26	27.82	24.94	69.06	31.06	3.45	106.49	-3.33	-67.72	36.88	-9.96	95.07
3	72.02	108.63	28.14	24.75	69.12	30.93	2.92	103.10	-2.73	-39.81	37.81	-3.70	93.63
4	71.93	108.96	28.29	24.56	69.14	30.77	2.39	101.13	-2.11	-12.72	38.54	2.24	92.12
5	71.84	109.25	28.29	24.36	69.13	30.61	1.87	100.39	-1.52	10.62	39.29	7.87	90.59
6	71.75	109.49	28.16	24.16	69.09	30.43	1.37	100.55	-1.00	26.89	40.18	13.27	89.10
7	71.66	109.68	27.96	23.95	69.02	30.24	0.87	101.21	-0.57	32.96	41.24	18.50	87.71
8	71.58	109.81	27.75	23.74	68.92	30.04	0.38	101.98	-0.24	26.93	42.46	23.69	86.48
