	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	72.19	110.90	11.69	20.74	59.61	31.51	2.27	126.93	0.80	39.45	51.01	-2.89	88.41
2	72.19	111.20	11.48	20.28	59.62	31.31	1.46	123.38	1.61	-2.80	54.93	6.33	85.66
3	72.18	111.41	11.77	19.79	59.54	31.05	0.69	119.72	1.81	-60.64	58.64	16.10	82.64
4	72.14	111.56	12.65	19.26	59.36	30.74	-0.07	115.89	1.76	-124.33	62.05	26.20	79.30
5	72.10	111.67	14.14	18.70	59.08	30.37	-0.79	112.05	1.71	-180.86	64.68	36.39	75.70
6	72.04	111.77	16.08	18.12	58.70	29.93	-1.48	108.54	1.70	-217.67	66.40	46.49	72.00
7	71.98	111.88	18.25	17.53	58.24	29.42	-2.13	105.55	1.65	-225.98	68.10	56.44	68.49
8	71.92	111.98	20.34	16.92	57.68	28.85	-2.74	103.02	1.52	-204.54	70.34	66.14	65.32
