,Shot Metric,Shooting Side,Non-Shooting Side,Shooting Side,Non-Shooting Side
0,Wrist Angle(°),12.870000000000001,-35.625,13.93,-36.61
1,Hand Height(in),75.04499999999999,78.58,75.48,79.34
2,Hand Height(%PH),103.035,107.88499999999999,103.64,108.94
3,Elbow Angle(°),99.045,69.41499999999999,102.15,71.12
4,Shoulder Angle(°),75.56,103.96000000000001,72.92,99.57
5,Torso Angle(°),-13.030000000000001,-13.030000000000001,-12.15,-12.15
6,Hip Angle(°),4.375,3.96,1.32,2.96
7,Knee Angle(°),34.55,30.299999999999997,29.24,28.34
8,Feet Stagger Position(in),-5.555,-5.555,-5.01,-5.01
9,Ankle Angle(°),5.9350000000000005,7.695,-0.0,-0.13
