,Shot Metric,Shooting Side,Non-Shooting Side,Shooting Side,Non-Shooting Side
0,Wrist Angle(°),16.31,-24.41,11.69,-21.81
1,Elbow Height(in),51.05,52.97,54.03,55.40
2,Elbow Height(%PH),70.09,72.73,74.18,76.06
3,Elbow Angle(°),108.28,79.31,110.90,83.33
4,Shoulder Angle(°),72.78,98.02,72.19,96.85
5,Torso Angle(°),4.10,4.10,2.27,2.27
6,Hip Angle(°),26.46,30.76,20.74,25.70
7,Knee Angle(°),71.55,72.22,59.61,61.88
8,Feet Stagger Position(in),-5.07,-5.07,-4.77,-4.77
9,Ankle Angle(°),31.30,31.44,31.51,29.63
