,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
RWRI_Angle,16.31,16.505,16.65,16.745,16.785,16.785,16.76,16.740000000000002,16.775,16.9,17.145,17.535,18.055,18.695,19.415,20.17,20.915,21.619999999999997,22.26,22.82,23.285000000000004,23.674999999999997,23.979999999999997,24.195,24.33,24.375,24.32,24.165,23.905,23.55,23.1,22.564999999999998,21.955,21.29,20.575,19.83,19.064999999999998,18.31,17.56,16.84,16.145,15.495000000000001,14.89,14.344999999999999,13.864999999999998,13.455,13.115,12.85,12.655,12.525,12.469999999999999,12.48,12.545,12.655,12.795,12.95,13.11,13.265,13.4,13.5,13.57,13.584999999999999,13.545000000000002,13.445,13.280000000000001,13.055,12.785,12.46,12.105,11.73,11.344999999999999,10.97,10.620000000000001,10.3,10.02,9.77,9.555,9.355,9.17,8.985,8.785,8.575,8.350000000000001,8.1,7.834999999999999,7.535,7.19,6.785,6.295,5.71,4.975,4.08,3.0,1.725,0.2450000000000001,-1.3900000000000001,-3.15,-4.975,-6.775,-8.48,-10.025
RELB_Angle,108.285,108.535,108.75999999999999,108.94999999999999,109.1,109.21000000000001,109.285,109.32,109.325,109.31,109.27000000000001,109.22,109.16,109.095,109.03,108.975,108.91,108.845,108.78,108.71000000000001,108.625,108.525,108.41,108.28,108.125,107.94999999999999,107.75,107.535,107.30000000000001,107.04499999999999,106.775,106.495,106.195,105.895,105.58500000000001,105.265,104.945,104.62,104.28999999999999,103.95,103.605,103.255,102.905,102.53999999999999,102.16999999999999,101.785,101.39500000000001,100.985,100.565,100.125,99.66,99.17,98.65,98.07499999999999,97.455,96.755,95.98,95.10499999999999,94.12,93.00999999999999,91.77000000000001,90.38499999999999,88.855,87.175,85.34,83.34,81.19,78.875,76.39500000000001,73.74,70.91499999999999,67.905,64.725,61.385000000000005,57.905,54.315,50.66,46.980000000000004,43.315,39.695,36.144999999999996,32.665,29.25,25.884999999999998,22.545,19.205,15.855,12.510000000000002,9.239999999999998,6.140000000000001,3.335,0.92,-1.04,-2.5700000000000003,-3.715,-4.535,-5.109999999999999,-5.495,-5.734999999999999,-5.865,-5.91
RSHO_Angle,72.785,72.75,72.71000000000001,72.67500000000001,72.64500000000001,72.625,72.61,72.61,72.62,72.635,72.65,72.67,72.69,72.705,72.71000000000001,72.71000000000001,72.7,72.69,72.67,72.65,72.63499999999999,72.625,72.62,72.63,72.65,72.685,72.73,72.78999999999999,72.86,72.935,73.025,73.12,73.22,73.33500000000001,73.445,73.565,73.69,73.81,73.945,74.07499999999999,74.205,74.34,74.475,74.605,74.735,74.86500000000001,74.985,75.10499999999999,75.21000000000001,75.315,75.41499999999999,75.50999999999999,75.60499999999999,75.69999999999999,75.8,75.91499999999999,76.03999999999999,76.185,76.36000000000001,76.565,76.8,77.08,77.405,77.78,78.215,78.705,79.26,79.875,80.555,81.305,82.11500000000001,82.98,83.905,84.875,85.875,86.895,87.91999999999999,88.935,89.905,90.83,91.68,92.445,93.10499999999999,93.66499999999999,94.12,94.49000000000001,94.81,95.12,95.465,95.89,96.41,97.0,97.61500000000001,98.205,98.725,99.17,99.53,99.815,100.03999999999999,100.21000000000001,100.34
TORSO_Angle,4.1,3.5650000000000004,3.0300000000000002,2.495,1.965,1.455,0.9450000000000001,0.445,-0.04,-0.52,-0.985,-1.44,-1.885,-2.33,-2.76,-3.1799999999999997,-3.59,-3.995,-4.385,-4.765000000000001,-5.140000000000001,-5.505,-5.85,-6.195,-6.535,-6.865,-7.195,-7.515000000000001,-7.83,-8.145,-8.45,-8.745000000000001,-9.035,-9.31,-9.57,-9.815000000000001,-10.05,-10.27,-10.475000000000001,-10.675,-10.870000000000001,-11.059999999999999,-11.25,-11.434999999999999,-11.625,-11.815000000000001,-12.01,-12.21,-12.41,-12.615,-12.82,-13.015,-13.22,-13.415,-13.594999999999999,-13.77,-13.94,-14.1,-14.25,-14.39,-14.524999999999999,-14.645,-14.76,-14.87,-14.97,-15.07,-15.165,-15.255,-15.34,-15.425,-15.51,-15.595,-15.685,-15.785,-15.895,-16.009999999999998,-16.15,-16.31,-16.490000000000002,-16.695,-16.925,-17.165,-17.42,-17.68,-17.925,-18.155,-18.36,-18.53,-18.655,-18.73,-18.75,-18.72,-18.64,-18.505000000000003,-18.325,-18.104999999999997,-17.85,-17.57,-17.27,-16.950000000000003,-16.619999999999997
RHIP_Angle,26.465,26.270000000000003,26.064999999999998,25.85,25.619999999999997,25.384999999999998,25.14,24.884999999999998,24.615000000000002,24.34,24.05,23.744999999999997,23.425,23.085,22.72,22.335,21.93,21.509999999999998,21.07,20.619999999999997,20.16,19.695,19.225,18.75,18.28,17.8,17.33,16.86,16.39,15.91,15.435,14.95,14.46,13.96,13.45,12.92,12.375,11.82,11.25,10.67,10.08,9.495000000000001,8.91,8.335,7.775,7.23,6.715,6.220000000000001,5.74,5.29,4.865,4.45,4.06,3.68,3.32,2.96,2.62,2.29,1.9649999999999999,1.6600000000000001,1.365,1.08,0.8049999999999999,0.55,0.305,0.07500000000000001,-0.145,-0.345,-0.5399999999999999,-0.715,-0.875,-1.03,-1.17,-1.3,-1.42,-1.5299999999999998,-1.625,-1.715,-1.795,-1.8599999999999999,-1.915,-1.955,-1.9900000000000002,-2.02,-2.04,-2.06,-2.08,-2.0949999999999998,-2.11,-2.13,-2.15,-2.17,-2.19,-2.205,-2.21,-2.2199999999999998,-2.225,-2.2350000000000003,-2.2350000000000003,-2.24,-2.245
RKNEE_Angle,71.545,71.61,71.64500000000001,71.63499999999999,71.59,71.51,71.395,71.245,71.06,70.84,70.58000000000001,70.285,69.945,69.57,69.16,68.70500000000001,68.22,67.695,67.14500000000001,66.565,65.96000000000001,65.335,64.685,64.02000000000001,63.33,62.625,61.894999999999996,61.150000000000006,60.364999999999995,59.565,58.730000000000004,57.86,56.955,56.015,55.035,54.015,52.96,51.865,50.735,49.575,48.385,47.17,45.94,44.685,43.43,42.17,40.905,39.650000000000006,38.405,37.165000000000006,35.935,34.724999999999994,33.519999999999996,32.335,31.16,30.0,28.855,27.725,26.615000000000002,25.520000000000003,24.445,23.395,22.369999999999997,21.365000000000002,20.39,19.43,18.49,17.58,16.685000000000002,15.815000000000001,14.96,14.129999999999999,13.325,12.545,11.79,11.07,10.385,9.735,9.125,8.55,8.015,7.515,7.055,6.63,6.24,5.885,5.5649999999999995,5.279999999999999,5.025,4.805,4.615,4.46,4.34,4.25,4.19,4.165,4.165,4.195,4.245,4.31,4.395
RANK_Angle,31.3,31.165,31.03,30.869999999999997,30.715,30.54,30.36,30.17,29.975,29.77,29.565,29.35,29.134999999999998,28.915,28.69,28.46,28.22,27.97,27.715,27.445,27.155,26.85,26.53,26.19,25.83,25.455,25.060000000000002,24.645,24.22,23.765,23.3,22.810000000000002,22.295,21.765,21.200000000000003,20.615000000000002,20.005,19.37,18.705,18.005000000000003,17.28,16.509999999999998,15.69,14.835,13.925,12.965,11.95,10.89,9.77,8.605,7.385,6.125,4.8149999999999995,3.4699999999999998,2.09,0.6900000000000001,-0.735,-2.17,-3.615,-5.055,-6.49,-7.914999999999999,-9.33,-10.73,-12.115,-13.489999999999998,-14.85,-16.200000000000003,-17.53,-18.845,-20.14,-21.41,-22.645,-23.845,-25.005000000000003,-26.115000000000002,-27.18,-28.195,-29.155,-30.060000000000002,-30.905,-31.685,-32.41,-33.065,-33.66,-34.19,-34.655,-35.05,-35.385000000000005,-35.644999999999996,-35.84,-35.97,-36.035,-36.019999999999996,-35.94,-35.795,-35.57,-35.285,-34.93,-34.515,-34.035
RWRI_Velocity,-32.925,-27.64,-20.37,-12.215,-4.795000000000001,-0.025000000000000355,0.18499999999999872,-5.585000000000001,-17.78,-35.725,-57.67,-81.035,-102.82,-120.305,-131.69,-136.365,-134.78,-128.07,-117.61999999999999,-104.725,-90.355,-75.015,-58.795,-41.53999999999999,-23.120000000000005,-3.6400000000000006,16.585,37.010000000000005,57.025,76.01,93.425,108.84,121.89500000000001,132.28,139.795,144.465,146.45999999999998,146.01999999999998,143.33999999999997,138.535,131.70999999999998,122.995,112.58,100.745,87.81,74.095,59.955000000000005,45.755,31.775,18.275000000000002,5.57,-5.86,-15.455,-22.72,-27.39,-29.520000000000003,-29.35,-27.085,-22.785,-16.45,-8.175,1.7199999999999998,12.735,24.255,35.665,46.455,56.085,63.97,69.505,72.29,72.22999999999999,69.555,64.8,58.735,52.3,46.459999999999994,42.025,39.49,38.89,39.88,41.855000000000004,44.235,46.730000000000004,49.565,53.4,59.095,67.4,78.965,94.41999999999999,114.225,138.385,166.29000000000002,196.615,227.27499999999998,255.505,278.26,292.59000000000003,296.13,287.66,267.825,239.015
RELB_Velocity,-2.055,-1.875,-1.7149999999999999,-1.58,-1.475,-1.4,-1.345,-1.2999999999999998,-1.25,-1.19,-1.12,-1.05,-0.9850000000000001,-0.9349999999999999,-0.895,-0.855,-0.775,-0.625,-0.365,0.020000000000000004,0.5549999999999999,1.24,2.0700000000000003,3.025,4.07,5.17,6.29,7.380000000000001,8.385,9.275,10.024999999999999,10.620000000000001,11.05,11.315,11.425,11.370000000000001,11.165,10.845,10.425,9.925,9.34,8.665,7.895,6.99,5.9350000000000005,4.7250000000000005,3.34,1.7900000000000003,0.08999999999999986,-1.75,-3.6750000000000003,-5.625,-7.505000000000001,-9.165000000000001,-10.405000000000001,-11.010000000000002,-10.719999999999999,-9.274999999999999,-6.405000000000001,-1.7949999999999982,4.900000000000002,14.07,26.085,41.295,59.98,82.31,108.4,138.175,171.35000000000002,207.35,245.29500000000002,283.985,321.925,357.445,388.82000000000005,414.52,433.42,444.94,449.155,446.71500000000003,438.67499999999995,426.275,410.77,393.245,374.53,355.08500000000004,334.895,313.325,289.435,262.495,232.635,200.96,169.025,138.245,109.64500000000001,83.86,61.25,42.015,26.205000000000002,13.75,4.425
RSHO_Velocity,114.46000000000001,111.66499999999999,109.88499999999999,109.005,108.83500000000001,109.10499999999999,109.51499999999999,109.795,109.72,109.14,107.935,106.08500000000001,103.64500000000001,100.755,97.61,94.41499999999999,91.35,88.565,86.16999999999999,84.175,82.53999999999999,81.155,79.84,78.46000000000001,76.87,74.995,72.82,70.39,67.795,65.145,62.545,60.065,57.735,55.525,53.375,51.185,48.855,46.29,43.43,40.285,36.885000000000005,33.295,29.62,25.975,22.494999999999997,19.3,16.495,14.195,12.51,11.535,11.39,12.185,14.01,16.93,20.98,26.155,32.44,39.815,48.22,57.59,67.82,78.775,90.29,102.185,114.28999999999999,126.435,138.45499999999998,150.215,161.535,172.255,182.17000000000002,191.11,198.885,205.345,210.39499999999998,214.015,216.315,217.57999999999998,218.25,218.905,220.17000000000002,222.595,226.56,231.965,238.05,243.335,245.675,242.695,232.535,214.625,190.215,162.04500000000002,133.345,106.825,83.97,65.16499999999999,50.120000000000005,38.305,29.174999999999997,22.165,16.78
