1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
11.69,11.48,11.77,12.65,14.14,16.08,18.25,20.34,22.08,23.32,24.0,24.15,23.89,23.36,22.65,21.84,20.95,20.02,19.07,18.16,17.33,16.59,15.96,15.42,14.94,14.53,14.2,13.99,13.92,13.99,14.18,14.4,14.56,14.52,14.19,13.49,12.41,11.02,9.44,7.85,6.42,5.32,4.6,4.22,4.06,3.91,3.55,2.8,1.48,-0.5,-3.14,-6.36,-9.98,-13.7,-17.19,-20.24,-22.68,-24.39,-25.34,-25.58,-25.16,-24.11,-22.5,-20.46,-18.2,-15.94,-13.88,-12.2,-10.97,-10.06,-9.14,-7.89,-6.2,-4.21,-2.22,-0.61,0.37,0.77,0.79,0.69,0.61,0.63,0.78,1.01,1.2,1.19,0.94,0.51,0.04,-0.36,-0.65,-0.85,-1.05,-1.29,-1.51,-1.64,-1.61,-1.45,-1.26,-1.22,-1.53
110.9,111.2,111.41,111.56,111.67,111.77,111.88,111.98,112.05,112.07,112.02,111.88,111.66,111.36,111.01,110.6,110.15,109.67,109.16,108.62,108.07,107.49,106.89,106.24,105.55,104.78,103.9,102.87,101.65,100.17,98.39,96.24,93.67,90.64,87.12,83.1,78.55,73.49,67.94,61.97,55.69,49.21,42.73,36.4,30.4,24.91,20.04,15.85,12.32,9.4,6.96,4.89,3.07,1.45,-0.03,-1.41,-2.65,-3.67,-4.42,-4.91,-5.19,-5.31,-5.33,-5.29,-5.22,-5.15,-5.1,-5.05,-5.03,-5.02,-5.01,-5.02,-5.02,-5.03,-5.03,-5.02,-5.02,-5.01,-5.01,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-4.99,-4.99,-5.0,-5.0,-5.02,-5.05,-5.1,-5.16,-5.23,-5.3,-5.36,-5.37
72.19,72.19,72.18,72.14,72.1,72.04,71.98,71.92,71.86,71.81,71.78,71.76,71.76,71.79,71.83,71.9,72.0,72.13,72.27,72.43,72.58,72.71,72.81,72.88,72.91,72.92,72.91,72.91,72.93,73.01,73.16,73.43,73.83,74.39,75.13,76.04,77.11,78.34,79.7,81.16,82.71,84.31,85.94,87.57,89.17,90.71,92.15,93.44,94.56,95.49,96.24,96.86,97.38,97.85,98.28,98.65,98.89,98.94,98.84,98.66,98.47,98.35,98.33,98.44,98.66,98.93,99.21,99.46,99.69,99.9,100.13,100.38,100.7,101.09,101.6,102.19,102.82,103.43,103.97,104.44,104.84,105.19,105.48,105.71,105.87,105.98,106.05,106.1,106.14,106.19,106.25,106.3,106.33,106.29,106.12,105.77,105.2,104.43,103.48,102.41,101.25
2.27,1.46,0.69,-0.07,-0.79,-1.48,-2.13,-2.74,-3.32,-3.87,-4.39,-4.88,-5.37,-5.84,-6.32,-6.79,-7.25,-7.72,-8.18,-8.63,-9.07,-9.5,-9.93,-10.35,-10.76,-11.17,-11.57,-11.94,-12.28,-12.58,-12.82,-13.02,-13.17,-13.28,-13.36,-13.43,-13.5,-13.6,-13.72,-13.87,-14.05,-14.26,-14.5,-14.76,-15.04,-15.31,-15.58,-15.85,-16.13,-16.4,-16.6,-16.69,-16.65,-16.52,-16.36,-16.27,-16.32,-16.47,-16.63,-16.72,-16.66,-16.4,-15.92,-15.29,-14.66,-14.17,-13.88,-13.78,-13.85,-14.01,-14.13,-14.1,-13.82,-13.31,-12.58,-11.74,-10.91,-10.18,-9.58,-9.12,-8.77,-8.5,-8.26,-8.08,-7.95,-7.87,-7.82,-7.77,-7.69,-7.58,-7.42,-7.21,-6.98,-6.78,-6.63,-6.57,-6.55,-6.52,-6.49,-6.45,-6.44
20.74,20.28,19.79,19.26,18.7,18.12,17.53,16.92,16.28,15.63,14.97,14.31,13.64,12.96,12.27,11.57,10.84,10.1,9.34,8.56,7.75,6.91,6.04,5.16,4.27,3.39,2.56,1.78,1.05,0.39,-0.19,-0.72,-1.17,-1.56,-1.89,-2.18,-2.45,-2.71,-2.97,-3.23,-3.5,-3.77,-4.03,-4.28,-4.51,-4.71,-4.88,-5.01,-5.08,-5.12,-5.13,-5.14,-5.15,-5.19,-5.24,-5.31,-5.39,-5.49,-5.63,-5.8,-6.0,-6.22,-6.43,-6.63,-6.8,-6.93,-7.03,-7.1,-7.15,-7.18,-7.19,-7.18,-7.15,-7.11,-7.04,-6.94,-6.82,-6.68,-6.52,-6.35,-6.17,-5.98,-5.78,-5.59,-5.39,-5.2,-5.03,-4.86,-4.71,-4.57,-4.42,-4.28,-4.15,-4.06,-3.99,-3.95,-3.93,-3.92,-3.91,-3.9,-3.87
59.61,59.62,59.54,59.36,59.08,58.7,58.24,57.68,57.04,56.32,55.53,54.65,53.69,52.64,51.51,50.29,48.98,47.6,46.16,44.64,43.06,41.4,39.68,37.88,36.03,34.14,32.25,30.37,28.53,26.76,25.05,23.42,21.88,20.41,19.0,17.65,16.35,15.07,13.83,12.63,11.49,10.41,9.4,8.49,7.67,6.94,6.33,5.82,5.41,5.12,4.93,4.84,4.82,4.88,4.97,5.09,5.22,5.33,5.41,5.45,5.46,5.42,5.35,5.25,5.12,4.97,4.8,4.6,4.36,4.09,3.79,3.47,3.14,2.82,2.51,2.23,1.98,1.75,1.56,1.4,1.26,1.15,1.06,1.01,0.98,0.98,1.0,1.02,1.05,1.07,1.08,1.08,1.06,1.04,1.01,0.98,0.94,0.92,0.89,0.87,0.86
31.51,31.31,31.05,30.74,30.37,29.93,29.42,28.85,28.22,27.53,26.79,26.03,25.22,24.36,23.43,22.39,21.23,19.96,18.58,17.1,15.53,13.87,12.08,10.18,8.14,5.99,3.75,1.43,-0.92,-3.28,-5.63,-7.93,-10.16,-12.32,-14.4,-16.4,-18.34,-20.22,-22.04,-23.77,-25.4,-26.92,-28.31,-29.55,-30.65,-31.58,-32.34,-32.91,-33.28,-33.48,-33.5,-33.35,-33.07,-32.66,-32.15,-31.55,-30.88,-30.16,-29.41,-28.65,-27.89,-27.13,-26.37,-25.62,-24.89,-24.2,-23.58,-23.06,-22.68,-22.45,-22.35,-22.38,-22.52,-22.72,-22.98,-23.26,-23.56,-23.88,-24.2,-24.52,-24.85,-25.17,-25.48,-25.77,-26.02,-26.22,-26.38,-26.5,-26.59,-26.64,-26.63,-26.53,-26.33,-26.0,-25.55,-24.97,-24.27,-23.46,-22.53,-21.47,-20.3
39.45,-2.8,-60.64,-124.33,-180.86,-217.67,-225.98,-204.54,-159.77,-102.41,-43.86,6.58,43.95,68.31,83.3,93.17,100.11,103.64,102.47,96.52,86.75,74.95,64.17,56.03,49.01,40.69,29.41,15.21,-0.19,-14.28,-23.3,-22.34,-7.97,19.45,56.66,98.59,138.21,167.59,179.86,171.07,142.58,102.02,60.49,28.59,14.89,24.92,57.72,107.97,170.06,235.8,296.2,345.8,373.61,369.29,337.95,286.42,217.9,140.11,62.44,-9.83,-76.99,-138.93,-189.18,-219.52,-226.82,-212.99,-181.99,-139.92,-100.96,-85.09,-102.47,-143.19,-180.64,-195.22,-176.86,-126.25,-65.21,-18.29,5.13,9.61,3.19,-8.24,-18.62,-20.8,-9.62,12.29,33.35,43.91,42.25,32.73,23.03,19.18,21.02,22.8,18.01,5.09,-10.34,-19.12,-12.79,13.03,56.11
0.8,1.61,1.81,1.76,1.71,1.7,1.65,1.52,1.42,1.52,1.94,2.72,3.77,4.91,6.0,6.95,7.69,8.17,8.27,7.86,6.87,5.22,2.85,-0.19,-3.88,-8.24,-13.31,-19.04,-25.13,-30.93,-35.35,-36.82,-33.49,-23.76,-6.61,18.54,51.88,92.89,139.96,190.03,239.08,282.52,315.95,336.02,340.94,330.37,306.64,275.08,241.33,209.52,182.2,160.76,144.23,131.03,122.54,115.63,102.04,80.96,57.97,37.32,20.94,9.33,2.1,-1.8,-3.47,-3.74,-3.26,-2.45,-1.61,-0.89,-0.33,0.05,0.25,0.26,0.14,0.03,-0.04,-0.06,-0.05,-0.04,-0.03,-0.02,-0.03,-0.05,-0.07,-0.1,-0.14,-0.17,-0.19,-0.17,-0.08,0.11,0.43,0.91,1.54,2.3,3.1,3.72,3.8,2.81,0.13
126.93,123.38,119.72,115.89,112.05,108.54,105.55,103.02,100.64,97.86,94.02,88.77,82.25,75.02,67.96,61.85,56.92,52.87,49.14,45.19,40.68,35.56,29.99,24.31,19.21,15.71,14.88,17.58,24.38,35.53,50.88,69.92,91.65,114.59,137.15,158.06,176.56,192.34,205.15,214.71,220.64,222.39,219.65,212.76,202.4,188.7,171.75,152.8,134.14,118.91,109.45,103.64,97.22,86.7,69.19,44.42,16.68,-5.95,-17.52,-18.14,-10.25,3.86,19.15,29.18,30.91,25.94,17.37,8.17,1.2,-0.66,4.95,17.98,34.78,52.18,66.05,71.53,68.81,61.12,51.87,43.41,36.72,31.65,26.99,21.71,16.53,12.67,10.78,10.77,11.88,13.42,14.58,14.13,10.97,4.47,-5.32,-16.94,-27.52,-35.48,-40.89,-43.53,-42.74
